S.No.,Date,Shift,Incharge,watt,Pallet_ID,Module_ID,Binning,JB_Type,Module_Type,Grade
1,2025-10-26,-,-,620 WATT,100158, SW1225010000002868 ,-,-,SW-DG132THC-620W,A GRADE
2,2025-10-26,-,-,620 WATT,100158, SW1225010000002841 ,-,-,SW-DG132THC-620W,A GRADE
3,2025-10-26,-,-,620 WATT,100158, SW1225010000002862 ,-,-,SW-DG132THC-620W,A GRADE
4,2025-10-26,-,-,620 WATT,100158, SW1225010000002743 ,-,-,SW-DG132THC-620W,A GRADE
5,2025-10-26,-,-,620 WATT,100158, SW1225010000002676 ,-,-,SW-DG132THC-620W,A GRADE
6,2025-10-26,-,-,620 WATT,100158, SW1225010000002952 ,-,-,SW-DG132THC-620W,A GRADE
7,2025-10-26,-,-,620 WATT,100158, SW1225010000002800 ,-,-,SW-DG132THC-620W,A GRADE
8,2025-10-26,-,-,620 WATT,100158, SW1225010000002820 ,-,-,SW-DG132THC-620W,A GRADE
9,2025-10-26,-,-,620 WATT,100158, SW1225010000002821 ,-,-,SW-DG132THC-620W,A GRADE
10,2025-10-26,-,-,620 WATT,100158, SW1225010000002795 ,-,-,SW-DG132THC-620W,A GRADE
11,2025-10-26,-,-,620 WATT,100158, SW1225010000002791 ,-,-,SW-DG132THC-620W,A GRADE
12,2025-10-26,-,-,620 WATT,100158, SW1225010000002789 ,-,-,SW-DG132THC-620W,A GRADE
13,2025-10-26,-,-,620 WATT,100158, SW1225010000002788 ,-,-,SW-DG132THC-620W,A GRADE
14,2025-10-26,-,-,620 WATT,100158, SW1225010000002782 ,-,-,SW-DG132THC-620W,A GRADE
15,2025-10-26,-,-,620 WATT,100158, SW1225010000002831 ,-,-,SW-DG132THC-620W,A GRADE
16,2025-10-26,-,-,620 WATT,100158, SW1225010000002720 ,-,-,SW-DG132THC-620W,A GRADE
17,2025-10-26,-,-,620 WATT,100158, SW1225010000002738 ,-,-,SW-DG132THC-620W,A GRADE
18,2025-10-26,-,-,620 WATT,100158, SW1225010000002722 ,-,-,SW-DG132THC-620W,A GRADE
19,2025-10-26,-,-,620 WATT,100158, SW1225010000002737 ,-,-,SW-DG132THC-620W,A GRADE
20,2025-10-26,-,-,620 WATT,100158, SW1225010000002679 ,-,-,SW-DG132THC-620W,A GRADE
21,2025-10-26,-,-,620 WATT,100158, SW1225010000002739 ,-,-,SW-DG132THC-620W,A GRADE
22,2025-10-26,-,-,620 WATT,100158, SW1225010000002704 ,-,-,SW-DG132THC-620W,A GRADE
23,2025-10-26,-,-,620 WATT,100158, SW1225010000002775 ,-,-,SW-DG132THC-620W,A GRADE
24,2025-10-26,-,-,620 WATT,100158, SW1225010000002695 ,-,-,SW-DG132THC-620W,A GRADE
25,2025-10-26,-,-,620 WATT,100158, SW1225010000002773 ,-,-,SW-DG132THC-620W,A GRADE
26,2025-10-26,-,-,620 WATT,100158, SW1225010000002760 ,-,-,SW-DG132THC-620W,A GRADE
27,2025-10-26,-,-,620 WATT,100158, SW1225010000002776 ,-,-,SW-DG132THC-620W,A GRADE
28,2025-10-26,-,-,620 WATT,100158, SW1225010000002763 ,-,-,SW-DG132THC-620W,A GRADE
29,2025-10-26,-,-,620 WATT,100158, SW1225010000002748 ,-,-,SW-DG132THC-620W,A GRADE
30,2025-10-26,-,-,620 WATT,100158, SW1225010000002764 ,-,-,SW-DG132THC-620W,A GRADE
31,2025-10-26,-,-,620 WATT,100158, SW1225010000002751 ,-,-,SW-DG132THC-620W,A GRADE
32,2025-10-26,-,-,620 WATT,100158,SW1225010000002765,-,-,SW-DG132THC-620W,A GRADE
33,2025-10-26,-,-,620 WATT,100158,SW1225010000002719,-,-,SW-DG132THC-620W,A GRADE
34,2025-10-26,-,-,620 WATT,100158,SW1225010000002721,-,-,SW-DG132THC-620W,A GRADE
35,2025-10-26,-,-,620 WATT,100158,SW1225010000002655,-,-,SW-DG132THC-620W,A GRADE
36,2025-10-26,-,-,620 WATT,100158,SW1225010000002728,-,-,SW-DG132THC-620W,A GRADE
37,2025-10-26,-,-,620 WATT,100159, SW1225010000003962 ,-,-,SW-DG132THC-620W,A GRADE
38,2025-10-26,-,-,620 WATT,100159, SW1225010000003877 ,-,-,SW-DG132THC-620W,A GRADE
39,2025-10-26,-,-,620 WATT,100159, SW1225010000003955 ,-,-,SW-DG132THC-620W,A GRADE
40,2025-10-26,-,-,620 WATT,100159, SW1225010000003963 ,-,-,SW-DG132THC-620W,A GRADE
41,2025-10-26,-,-,620 WATT,100159, SW1225010000003912 ,-,-,SW-DG132THC-620W,A GRADE
42,2025-10-26,-,-,620 WATT,100159, SW1225010000003959 ,-,-,SW-DG132THC-620W,A GRADE
43,2025-10-26,-,-,620 WATT,100159, SW1225010000003916 ,-,-,SW-DG132THC-620W,A GRADE
44,2025-10-26,-,-,620 WATT,100159, SW1225010000003909 ,-,-,SW-DG132THC-620W,A GRADE
45,2025-10-26,-,-,620 WATT,100159, SW1225010000003967 ,-,-,SW-DG132THC-620W,A GRADE
46,2025-10-26,-,-,620 WATT,100159, SW1225010000003933 ,-,-,SW-DG132THC-620W,A GRADE
47,2025-10-26,-,-,620 WATT,100159, SW1225010000003842 ,-,-,SW-DG132THC-620W,A GRADE
48,2025-10-26,-,-,620 WATT,100159, SW1225010000003929 ,-,-,SW-DG132THC-620W,A GRADE
49,2025-10-26,-,-,620 WATT,100159, SW1225010000003928 ,-,-,SW-DG132THC-620W,A GRADE
50,2025-10-26,-,-,620 WATT,100159, SW1225010000003890 ,-,-,SW-DG132THC-620W,A GRADE
51,2025-10-26,-,-,620 WATT,100159, SW1225010000003943 ,-,-,SW-DG132THC-620W,A GRADE
52,2025-10-26,-,-,620 WATT,100159, SW1225010000003913 ,-,-,SW-DG132THC-620W,A GRADE
53,2025-10-26,-,-,620 WATT,100159, SW1225010000003917 ,-,-,SW-DG132THC-620W,A GRADE
54,2025-10-26,-,-,620 WATT,100159, SW1225010000003557 ,-,-,SW-DG132THC-620W,A GRADE
55,2025-10-26,-,-,620 WATT,100159, SW1225010000003419 ,-,-,SW-DG132THC-620W,A GRADE
56,2025-10-26,-,-,620 WATT,100159, SW1225010000003502 ,-,-,SW-DG132THC-620W,A GRADE
57,2025-10-26,-,-,620 WATT,100159, SW1225010000003550 ,-,-,SW-DG132THC-620W,A GRADE
58,2025-10-26,-,-,620 WATT,100159, SW1225010000003561 ,-,-,SW-DG132THC-620W,A GRADE
59,2025-10-26,-,-,620 WATT,100159, SW1225010000003597 ,-,-,SW-DG132THC-620W,A GRADE
60,2025-10-26,-,-,620 WATT,100159, SW1225010000003585 ,-,-,SW-DG132THC-620W,A GRADE
61,2025-10-26,-,-,620 WATT,100159, SW1225010000003722 ,-,-,SW-DG132THC-620W,A GRADE
62,2025-10-26,-,-,620 WATT,100159, SW1225010000003822 ,-,-,SW-DG132THC-620W,A GRADE
63,2025-10-26,-,-,620 WATT,100159, SW1225010000003816 ,-,-,SW-DG132THC-620W,A GRADE
64,2025-10-26,-,-,620 WATT,100159, SW1225010000003830 ,-,-,SW-DG132THC-620W,A GRADE
65,2025-10-26,-,-,620 WATT,100159, SW1225010000003835 ,-,-,SW-DG132THC-620W,A GRADE
66,2025-10-26,-,-,620 WATT,100159, SW1225010000003861 ,-,-,SW-DG132THC-620W,A GRADE
67,2025-10-26,-,-,620 WATT,100159, SW1225010000003862 ,-,-,SW-DG132THC-620W,A GRADE
68,2025-10-26,-,-,620 WATT,100159,SW1225010000003833,-,-,SW-DG132THC-620W,A GRADE
69,2025-10-26,-,-,620 WATT,100159,SW1225010000002812,-,-,SW-DG132THC-620W,A GRADE
70,2025-10-26,-,-,620 WATT,100159,SW1225010000002879,-,-,SW-DG132THC-620W,A GRADE
71,2025-10-26,-,-,620 WATT,100159,SW1225010000004472,-,-,SW-DG132THC-620W,A GRADE
72,2025-10-26,-,-,620 WATT,100159,SW1225010000003713,-,-,SW-DG132THC-620W,A GRADE
73,2025-10-26,-,-,620 WATT,100160, SW1225010000002666 ,-,-,SW-DG132THC-620W,A GRADE
74,2025-10-26,-,-,620 WATT,100160, SW1225010000002639 ,-,-,SW-DG132THC-620W,A GRADE
75,2025-10-26,-,-,620 WATT,100160, SW1225010000002686 ,-,-,SW-DG132THC-620W,A GRADE
76,2025-10-26,-,-,620 WATT,100160, SW1225010000002684 ,-,-,SW-DG132THC-620W,A GRADE
77,2025-10-26,-,-,620 WATT,100160, SW1225010000002665 ,-,-,SW-DG132THC-620W,A GRADE
78,2025-10-26,-,-,620 WATT,100160, SW1225010000002662 ,-,-,SW-DG132THC-620W,A GRADE
79,2025-10-26,-,-,620 WATT,100160, SW1225010000002619 ,-,-,SW-DG132THC-620W,A GRADE
80,2025-10-26,-,-,620 WATT,100160, SW1225010000002690 ,-,-,SW-DG132THC-620W,A GRADE
81,2025-10-26,-,-,620 WATT,100160, SW1225010000002692 ,-,-,SW-DG132THC-620W,A GRADE
82,2025-10-26,-,-,620 WATT,100160, SW1225010000002668 ,-,-,SW-DG132THC-620W,A GRADE
83,2025-10-26,-,-,620 WATT,100160, SW1225010000002616 ,-,-,SW-DG132THC-620W,A GRADE
84,2025-10-26,-,-,620 WATT,100160, SW1225010000002593 ,-,-,SW-DG132THC-620W,A GRADE
85,2025-10-26,-,-,620 WATT,100160, SW1225010000002627 ,-,-,SW-DG132THC-620W,A GRADE
86,2025-10-26,-,-,620 WATT,100160, SW1225010000002614 ,-,-,SW-DG132THC-620W,A GRADE
87,2025-10-26,-,-,620 WATT,100160, SW1225010000002626 ,-,-,SW-DG132THC-620W,A GRADE
88,2025-10-26,-,-,620 WATT,100160, SW1225010000002624 ,-,-,SW-DG132THC-620W,A GRADE
89,2025-10-26,-,-,620 WATT,100160, SW1225010000002635 ,-,-,SW-DG132THC-620W,A GRADE
90,2025-10-26,-,-,620 WATT,100160, SW1225010000002620 ,-,-,SW-DG132THC-620W,A GRADE
91,2025-10-26,-,-,620 WATT,100160, SW1225010000002591 ,-,-,SW-DG132THC-620W,A GRADE
92,2025-10-26,-,-,620 WATT,100160, SW1225010000002650 ,-,-,SW-DG132THC-620W,A GRADE
93,2025-10-26,-,-,620 WATT,100160, SW1225010000002651 ,-,-,SW-DG132THC-620W,A GRADE
94,2025-10-26,-,-,620 WATT,100160, SW1225010000002588 ,-,-,SW-DG132THC-620W,A GRADE
95,2025-10-26,-,-,620 WATT,100160, SW1225010000002581 ,-,-,SW-DG132THC-620W,A GRADE
96,2025-10-26,-,-,620 WATT,100160, SW1225010000002582 ,-,-,SW-DG132THC-620W,A GRADE
97,2025-10-26,-,-,620 WATT,100160, SW1225010000002647 ,-,-,SW-DG132THC-620W,A GRADE
98,2025-10-26,-,-,620 WATT,100160, SW1225010000002646 ,-,-,SW-DG132THC-620W,A GRADE
99,2025-10-26,-,-,620 WATT,100160, SW1225010000002629 ,-,-,SW-DG132THC-620W,A GRADE
100,2025-10-26,-,-,620 WATT,100160, SW1225010000002658 ,-,-,SW-DG132THC-620W,A GRADE
101,2025-10-26,-,-,620 WATT,100160, SW1225010000002598 ,-,-,SW-DG132THC-620W,A GRADE
102,2025-10-26,-,-,620 WATT,100160, SW1225010000002599 ,-,-,SW-DG132THC-620W,A GRADE
103,2025-10-26,-,-,620 WATT,100160, SW1225010000002585 ,-,-,SW-DG132THC-620W,A GRADE
104,2025-10-26,-,-,620 WATT,100160,SW1225010000002584,-,-,SW-DG132THC-620W,A GRADE
105,2025-10-26,-,-,620 WATT,100160,SW1225010000002586,-,-,SW-DG132THC-620W,A GRADE
106,2025-10-26,-,-,620 WATT,100160,SW1225010000002600,-,-,SW-DG132THC-620W,A GRADE
107,2025-10-26,-,-,620 WATT,100160,SW0326010000004032,-,-,SW-DG132THC-620W,A GRADE
108,2025-10-26,-,-,620 WATT,100160,SW0326010000004023,-,-,SW-DG132THC-620W,A GRADE
109,2025-10-26,-,-,620 WATT,100161, SW1225010000003598 ,-,-,SW-DG132THC-620W,A GRADE
110,2025-10-26,-,-,620 WATT,100161, SW1225010000003559 ,-,-,SW-DG132THC-620W,A GRADE
111,2025-10-26,-,-,620 WATT,100161, SW1225010000003564 ,-,-,SW-DG132THC-620W,A GRADE
112,2025-10-26,-,-,620 WATT,100161, SW1225010000003563 ,-,-,SW-DG132THC-620W,A GRADE
113,2025-10-26,-,-,620 WATT,100161, SW1225010000003535 ,-,-,SW-DG132THC-620W,A GRADE
114,2025-10-26,-,-,620 WATT,100161, SW1225010000003490 ,-,-,SW-DG132THC-620W,A GRADE
115,2025-10-26,-,-,620 WATT,100161, SW1225010000003503 ,-,-,SW-DG132THC-620W,A GRADE
116,2025-10-26,-,-,620 WATT,100161, SW1225010000003555 ,-,-,SW-DG132THC-620W,A GRADE
117,2025-10-26,-,-,620 WATT,100161, SW1225010000003684 ,-,-,SW-DG132THC-620W,A GRADE
118,2025-10-26,-,-,620 WATT,100161, SW0326010000004013 ,-,-,SW-DG132THC-620W,A GRADE
119,2025-10-26,-,-,620 WATT,100161, SW0326010000003997 ,-,-,SW-DG132THC-620W,A GRADE
120,2025-10-26,-,-,620 WATT,100161, SW0326010000004006 ,-,-,SW-DG132THC-620W,A GRADE
121,2025-10-26,-,-,620 WATT,100161, SW0326010000004039 ,-,-,SW-DG132THC-620W,A GRADE
122,2025-10-26,-,-,620 WATT,100161, SW0326010000004024 ,-,-,SW-DG132THC-620W,A GRADE
123,2025-10-26,-,-,620 WATT,100161, SW0326010000003748 ,-,-,SW-DG132THC-620W,A GRADE
124,2025-10-26,-,-,620 WATT,100161, SW0326010000004017 ,-,-,SW-DG132THC-620W,A GRADE
125,2025-10-26,-,-,620 WATT,100161, SW0326010000004053 ,-,-,SW-DG132THC-620W,A GRADE
126,2025-10-26,-,-,620 WATT,100161, SW0326010000003980 ,-,-,SW-DG132THC-620W,A GRADE
